subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-1.11558171954829e-08,4.58429280262612e-08,-7.64221257482491e-09,6.39637171843828e-08,2.02457767206635e-09,5.09121804833961e-08,9.90039129470557e-09,-1.63000267111882e-08,-1.75426038695305e-08,8.0263743895571e-08,-7.87581362263922e-09,6.72122071945843e-08,-1.11669730126784e-05,4.58887709542874e-05,-7.64985478739973e-06,6.40276809015672e-05,2.02660224973842e-06,5.09630926638795e-05
102_NG,-4.270126468619e-08,-8.8662731458129e-09,-1.06575651531806e-08,-1.42410419626356e-09,6.00816519990469e-08,3.45732114756702e-08,3.1127504294535e-08,2.67330160280109e-08,-4.17850694477156e-08,-2.81571202242744e-08,2.89541477045119e-08,7.84019544765935e-09,-4.27439659508762e-05,-8.87513941895871e-06,-1.06682227183338e-05,-1.42552830045982e-06,6.0141733651046e-05,3.46077846871459e-05
103_JT,-5.8264603127885e-09,3.54219630097445e-08,-4.56179632617638e-10,3.84603051650438e-08,5.81517679607215e-09,2.73428620766079e-08,6.47498008855814e-09,-9.9002244892124e-10,-6.93115972117577e-09,3.9450327613965e-08,-6.59803292485988e-10,2.83328845255292e-08,-5.83228677310128e-06,3.54573849727542e-05,-4.56635812250256e-07,3.84987654702088e-05,5.82099197286822e-06,2.73702049386845e-05
104_JD,-1.06535793573757e-07,-4.65270792477398e-08,8.41437096949938e-08,8.23416930107209e-08,4.00234460959597e-08,1.59629952910368e-07,8.4883196159986e-08,3.63150772282015e-08,-7.39486464992256e-10,4.60266157825194e-08,-4.48597500640263e-08,1.23314875682166e-07,-0.00010664232936733,-4.65736063269876e-05,8.42278534046888e-05,8.24240347037316e-05,4.00634695420557e-05,0.000159789582863278
105_JB,-8.74413869580595e-08,-3.33414821864003e-09,-2.48183212464049e-08,1.66087371437086e-09,1.69759930085564e-07,8.60535509913933e-08,4.58225320091808e-08,-1.58446041821346e-08,-7.06408532555857e-08,1.75054778965055e-08,1.23937398076383e-07,1.01898155173528e-07,-8.75288283450176e-05,-3.33748236685867e-06,-2.48431395676513e-05,1.66253458808523e-06,0.00016992969001565,8.61396045423847e-05
106_AE,3.16316316586369e-08,6.40771995683198e-10,2.09647656896395e-08,1.53258049210282e-08,2.50129194523686e-08,1.96727390776812e-08,-1.02247093393137e-08,-1.78874149462688e-09,3.11894750289532e-08,1.71145464156551e-08,3.52376287916823e-08,2.14614805723081e-08,3.16632632902955e-05,6.41412767678881e-07,2.09857304553291e-05,1.53411307259492e-05,2.5037932371821e-05,1.96924118167589e-05
107_CW,3.18645607718183e-08,1.86085290413927e-08,-1.3646232072562e-08,1.78049518276373e-08,5.04208196644388e-08,4.83545981662432e-08,-9.11651947324688e-09,-6.52573503117359e-09,-4.52971259931513e-09,2.43306868588109e-08,5.95373391376857e-08,5.48803331974168e-08,3.18964253325901e-05,1.86271375704341e-05,-1.36598783046346e-05,1.78227567794649e-05,5.04712404841033e-05,4.84029527644095e-05
108_RW,1.47507977124116e-08,3.8203056049328e-08,4.44065099662729e-08,1.07354787483599e-07,5.74599974827716e-08,9.97419012761333e-08,-2.47676616748208e-08,-9.20933395667585e-08,6.91741716410936e-08,1.99448127050358e-07,8.22276591575924e-08,1.91835240842892e-07,1.47655485101241e-05,3.82412591053773e-05,4.44509164762392e-05,0.000107462142271083,5.75174574802544e-05,9.98416431774094e-05
109_LM,-8.79333437630768e-08,-1.77554732415395e-07,-7.10478714869901e-08,3.31424387500848e-08,-2.35599616287439e-08,-7.72594887321075e-08,9.25135255047494e-08,7.22245844358078e-08,-1.6356139699174e-07,-3.90821456857229e-08,-1.16073487133493e-07,-1.49484073167915e-07,-8.80212771068399e-05,-0.000177732287147811,-7.1118919358477e-05,3.31755811888349e-05,-2.35835215903726e-05,-7.73367482208396e-05
110_JS,2.50588959647205e-07,5.28027367314373e-08,7.84260915561792e-08,7.09748022573092e-08,9.97667963884126e-08,7.7828341573105e-08,-3.19918405725679e-08,1.86208125362987e-08,1.10417932128747e-07,5.23539897210105e-08,1.3175863696098e-07,5.92075290368063e-08,0.000250839548606852,5.28555394681688e-05,7.85045176477354e-05,7.10457770595665e-05,9.98665631848011e-05,7.79061699146781e-05
113_ID,-6.05911828675603e-08,-2.20718342735735e-08,6.58931861536534e-08,1.14211390705999e-07,1.20342212770318e-07,1.62374877727449e-07,6.87442034452079e-08,5.69628093102036e-08,-2.85101729155446e-09,5.72485813957952e-08,5.15980093251097e-08,1.05412068417245e-07,-6.06517740504279e-05,-2.20939061078471e-05,6.59590793398071e-05,0.000114325602096705,0.000120462554983088,0.000162537252605176
114_ASB,3.19351809771193e-08,3.76166773967163e-08,3.21425570130206e-08,4.62977146308579e-08,-1.62593018198978e-08,2.26614520046044e-08,3.03129206129581e-08,7.21536671547931e-09,1.82963640006257e-09,3.90823479153786e-08,-4.65722224328559e-08,1.54460852891251e-08,3.19671161580964e-05,3.7654294074113e-05,3.21746995700337e-05,4.63440123454888e-05,-1.62755611217177e-05,2.2684113456609e-05
115_HC,3.12539572507523e-08,-3.00794495002927e-08,3.435885225139e-08,4.43086640796281e-08,-8.06812796782318e-08,-6.82504311311522e-08,-1.33129803799921e-09,-4.05481796409106e-10,3.56901502893892e-08,4.47141458760372e-08,-7.93499816402325e-08,-6.78449493347431e-08,3.1285211208003e-05,-3.0109528949793e-05,3.43932111036414e-05,4.43529727437078e-05,-8.076196095791e-05,-6.83186815622834e-05
118_ZT,2.24731956821717e-08,3.0587629426777e-08,8.80977191621795e-09,-2.74972846292497e-09,5.58526428585187e-08,-3.33020203949064e-08,-1.56770533544888e-08,1.30943855949891e-08,2.44868252707068e-08,-1.58441140579141e-08,7.15296962130075e-08,-4.63964059898955e-08,2.24956688778538e-05,3.06182170562038e-05,8.81858168813417e-06,-2.75247819138789e-06,5.59084955013772e-05,-3.33353224153013e-05
119_GM,-1.55870940983391e-08,1.68535044749022e-08,-9.3564529052483e-09,1.01987979505166e-08,-2.00083136380445e-08,-4.21242873581731e-09,3.33471012611629e-08,-1.01914322170846e-09,-4.27035541664112e-08,1.1217941172225e-08,-5.33554148992074e-08,-3.19328551410886e-09,-1.56026811924374e-05,1.68703579793771e-05,-9.36580935815355e-06,1.02089967484671e-05,-2.00283219516826e-05,-4.21664116455313e-06
120_PB,3.99803898623917e-07,3.12909985335012e-07,2.25604534369562e-07,1.86510024057866e-07,8.31686603774794e-08,8.01417343091754e-08,9.15964134986165e-08,3.39809283949863e-08,1.34008120870946e-07,1.5252909566288e-07,-8.4277531211371e-09,4.61608059141891e-08,0.000400203702522541,0.000313222895320347,0.000225830138903932,0.000186696534081924,8.32518290378568e-05,8.02218760434846e-05
121_MT,-8.89842280529304e-08,1.32113166735612e-07,-6.2020896765773e-09,3.70983375329566e-08,1.67962602215073e-07,1.14509731370113e-07,-4.50839695013081e-08,-1.03982596601403e-08,3.88818798247308e-08,4.7496597193097e-08,2.13046571716381e-07,1.24907991030253e-07,-8.90732122809833e-05,0.000132245279902347,-6.20829176625388e-06,3.71354358704896e-05,0.000168130564817288,0.000114624241101483
122_KD,5.53914785532438e-08,-7.54520002110455e-09,-3.16346127420057e-08,-7.34807438523325e-09,-3.74997231078549e-08,-1.58658299890824e-08,1.44168670079587e-10,1.54298718168525e-08,-3.17787814120852e-08,-2.27779462020858e-08,-3.76438917779345e-08,-3.1295701805935e-08,5.54468700317971e-05,-7.55274522112565e-06,-3.16662473547477e-05,-7.35542245961849e-06,-3.75372228309628e-05,-1.58816958190715e-05
123_ES,3.36299825460381e-08,3.57069923477241e-08,4.57106307499305e-08,2.56263320094424e-08,-4.23100776369227e-08,-1.51225942720283e-08,3.87101077970795e-08,1.51622009003598e-08,7.000522952851e-09,1.04641311090826e-08,-8.10201854340022e-08,-3.0284795172388e-08,3.36636125285841e-05,3.57426993400718e-05,4.57563413806804e-05,2.56519583414519e-05,-4.23523877145596e-05,-1.51377168663003e-05
124_CK,3.4181867458915e-08,2.96613730647277e-08,-5.26535852977675e-09,7.34281381268663e-09,4.05367707200224e-08,7.63469332764092e-08,4.11478567617858e-08,-2.05377797174648e-09,-4.64132152915626e-08,9.39659178443311e-09,-6.11086041763422e-10,7.84007112481557e-08,3.42160493263739e-05,2.96910344377925e-05,-5.27062388830653e-06,7.35015662649932e-06,4.05773074907424e-05,7.64232802096857e-05
