subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-1.54562279566681e-08,7.6717019407969e-08,-3.2808964874769e-09,8.34497304766147e-08,4.94394427271896e-08,7.15432912638839e-08,-9.82922945108996e-09,-2.79096027981431e-08,6.54833296361306e-09,1.11359333274758e-07,5.92686721782795e-08,9.9452894062027e-08,-1.54716841846248e-05,7.67937364273769e-05,-3.28417738396438e-06,8.35331802070913e-05,4.94888821699168e-05,7.16148345551478e-05
102_NG,5.26356126491362e-08,-3.7880313600021e-08,8.14099441240989e-09,2.20462197759283e-08,-1.3289070086191e-07,1.39476751209268e-07,2.33050456558695e-08,3.64082201531641e-08,-1.51640512434596e-08,-1.43620003772358e-08,-1.56195746517779e-07,1.03068531056104e-07,5.26882482617854e-05,-3.7918193913621e-05,8.1491354068223e-06,2.20682659957043e-05,-0.000133023591562772,0.000139616227960478
103_JT,1.29863216140769e-07,-4.90438912428403e-08,1.06045518274369e-07,2.48707745124466e-08,1.73876468866953e-08,1.00782067391243e-07,1.50268743374585e-08,9.6910147209946e-08,9.10186439369107e-08,-7.20393726974994e-08,2.36077254923676e-09,3.87192018129743e-09,0.00012999307935691,-4.90929351340831e-05,0.000106151563792644,2.4895645286959e-05,1.7405034533582e-05,0.000100882849458635
104_JD,-2.08136397538344e-08,8.68421101777834e-09,-3.14100665799749e-08,6.31046148184509e-09,1.41638825072916e-07,9.19767730395915e-08,7.8940575922944e-08,1.94195009813446e-08,-1.10350642502919e-07,-1.31090394994995e-08,6.26982491499716e-08,7.2557272058247e-08,-2.08344533935882e-05,8.69289522879612e-06,-3.14414766465549e-05,6.31677194332693e-06,0.000141780463897989,9.20687498126311e-05
105_JB,1.32105039208432e-07,-1.64282966672303e-08,-7.44424391037153e-09,7.53451386653186e-10,1.62391777384823e-07,8.83131736943328e-08,4.13309061164017e-09,-1.45408970392764e-08,-1.15773345220117e-08,1.52943484259296e-08,1.58258686773182e-07,1.02854070733609e-07,0.000132237144247641,-1.64447249638975e-05,-7.4516881542819e-06,7.54204838039839e-07,0.000162554169162207,8.84014868680271e-05
106_AE,3.92914517071958e-09,2.56947251051961e-08,5.37738036390207e-08,4.08467222026745e-08,1.778551316917e-08,-9.05577910882104e-09,-4.15184489575029e-08,-7.10103572999124e-09,9.52922525965235e-08,4.79477579326657e-08,5.93039621266729e-08,-1.9547433788298e-09,3.9330743158903e-06,2.57204198303013e-05,5.38275774426597e-05,4.08875689248772e-05,1.78032986823392e-05,-9.06483488792986e-06
107_CW,-1.11020476586087e-07,-2.10750671325618e-08,5.71729796395426e-08,1.73799819646787e-08,1.0902272655781e-07,5.6485004288217e-08,-3.27855385838761e-08,2.36176492562789e-08,8.99585182234187e-08,-6.23766729160018e-09,1.41808265141686e-07,3.28673550319381e-08,-0.000111131497062673,-2.10961421996944e-05,5.72301526191821e-05,1.73973619466434e-05,0.000109131749284368,5.65414892925052e-05
108_RW,3.66776470451492e-08,4.06852247931521e-08,6.42976066051466e-08,5.04378000417861e-08,-8.08898652007461e-10,4.86019660400805e-08,-9.77562137500048e-09,-6.82740077125092e-08,7.40732279801471e-08,1.18711807754295e-07,8.96672272299302e-09,1.1687597375259e-07,3.67143246921944e-05,4.07259100179452e-05,6.43619042117518e-05,5.04882378418279e-05,-8.09707550659469e-07,4.86505680061205e-05
109_LM,3.0884261346184e-08,4.02638741668892e-08,-1.42753064326682e-07,3.43023447109947e-08,2.5641976893379e-08,-3.47035960534715e-08,1.36717234895911e-08,1.8967143745902e-08,-1.56424787816273e-07,1.53352009650928e-08,1.19702534037879e-08,-5.36707397993734e-08,3.09151456075301e-05,4.03041380410561e-05,-0.000142895817391008,3.43366470557057e-05,2.56676188702724e-05,-3.47382996495249e-05
110_JS,2.12734444869665e-07,5.14442927897831e-08,9.60438953167809e-08,8.24769286770326e-08,2.56609700080357e-07,7.17792104826211e-08,1.47612450443474e-08,3.53596150476778e-08,8.12826502724335e-08,4.71173136293548e-08,2.41848455036009e-07,3.64195954349434e-08,0.000212947179314535,5.14957370825728e-05,9.61399392120977e-05,8.25594056057096e-05,0.000256866309780437,7.18509896931038e-05
