subID,mean_phys_J19,mean_phys_L19,mean_des_J19,mean_des_L19,mean_bel_J19,mean_bel_L19,mean_base_J19,mean_base_L19,area_phys_J19,area_phys_L19,area_des_J19,area_des_L19,area_bel_J19,area_bel_L19,area_base_J19,area_base_L19,max_phys_J19,max_phys_L19,max_des_J19,max_des_L19,max_bel_J19,max_bel_L19
101_JM,-1.11581356577851e-09,3.53197556908498e-08,-2.08400731264498e-09,5.43215669712788e-08,-1.17834898561574e-10,1.70116728653592e-08,-2.74945312856074e-09,-1.27947310322792e-08,5.88170163384483e-07,1.20274132230078e-05,8.25399053047763e-07,1.92547307445248e-05,-3.90549174330834e-06,5.45428492012286e-06,-2.46448643232634e-07,-9.69333628563638e-06,5.43242638643646e-09,4.80070241358688e-08,5.53932666189484e-09,7.16209643963502e-08,1.26028084331721e-08,2.80030716794756e-08
102_NG,-9.39400421804758e-09,-9.43563840670925e-09,-1.33823610004277e-08,-1.2583902317968e-08,2.02817236516672e-08,1.35160390655049e-08,7.30850315255294e-09,5.17748560378982e-09,-6.4738452198077e-07,-2.09365959963739e-06,-1.40251885792508e-06,1.56331330855972e-06,1.0245335186791e-05,9.24768676988598e-06,4.8050568598938e-06,4.21022084280145e-06,4.5381592882336e-09,1.61299263889924e-09,7.20298351549248e-09,8.20092446907212e-09,2.94098950071274e-08,3.0660927151482e-08
103_JT,5.05905037611889e-09,2.30647495002217e-08,-4.07476786645036e-09,1.79650526486232e-08,-2.80475100594942e-09,1.9361220704555e-09,1.16927342124558e-09,-3.91326771627167e-09,6.85937498750719e-07,8.52133634610765e-06,-8.20540015868088e-07,5.89772051153325e-06,-3.09421245113429e-06,3.87214976057293e-07,8.65888197658409e-07,-2.65475860691706e-06,1.21341891913717e-08,3.54133964227042e-08,5.1062630437466e-09,2.90795635560862e-08,6.94569754870776e-09,9.16107000458516e-09
104_JD,-6.03197454955438e-08,-5.43021452349995e-09,1.07274942943491e-08,5.70277753237678e-09,-3.10188658622216e-08,-4.14466538497798e-09,1.80728851030144e-08,1.0777133078615e-08,-1.97478436997422e-05,1.12827768070301e-06,1.21301217048887e-05,6.15081703533151e-06,-8.53981762600418e-06,8.33876527934136e-06,1.45153693232149e-05,7.01130308695497e-06,2.65779687281053e-09,1.11483127286758e-08,4.06415689470162e-08,1.57376187737801e-08,1.56659898529969e-08,2.69572847118792e-08
105_JB,-6.30426760136585e-08,1.99203563527198e-08,-1.34262677185445e-08,-1.40711767558471e-08,7.03111021107648e-08,2.85979985375944e-08,5.33377967280667e-09,-5.77575045544546e-09,-1.89779908835064e-05,1.13026122706699e-05,-3.62714586694755e-06,-2.20306508133843e-06,3.71758871229603e-05,1.0912479491032e-05,2.13674203541968e-06,-4.02208205905522e-06,-4.31143700460892e-09,3.44259458509632e-08,9.9131499897439e-09,3.27553495946262e-09,8.94065607225143e-08,4.56463275605634e-08
106_AE,1.07168275430323e-08,-3.26362194954778e-09,8.22203111619963e-09,9.72223725349901e-09,2.90342390089598e-09,9.44309887934281e-09,-4.23200236774044e-09,2.98925224004971e-09,4.44013439918702e-06,-1.76970279321675e-06,1.1584353275546e-06,1.33267618495856e-06,2.1339956556828e-06,3.38889401069757e-06,-2.30060986999993e-06,2.07766281091603e-06,1.91773160631803e-08,5.91915971356801e-09,1.61757970364786e-08,1.81682300566004e-08,1.2590851562458e-08,1.39512763474287e-08
107_CW,3.452276518762e-08,2.02112641815095e-08,-1.85448465367318e-08,4.5586877336721e-09,2.5564142588291e-08,3.4152934479379e-08,-4.61698789546595e-09,-6.86128015160149e-09,7.37748398875286e-06,4.51787389833346e-06,-8.83741639851394e-06,1.8294898356871e-06,7.12269845078028e-06,1.63275838271734e-05,-4.43017130008115e-06,-5.48467822648745e-06,5.72764656365528e-08,3.44485393764293e-08,-9.35204900900862e-10,1.52972185239991e-08,4.40870085162007e-08,4.59534555204488e-08
108_RW,3.64794379479752e-09,1.00539752520162e-08,1.37659428142993e-08,6.42007280414331e-08,2.96677155738763e-08,7.57193646603638e-08,-9.54298173278301e-09,-3.41235925732228e-08,1.53265121919165e-06,2.25480566322827e-06,3.48227082771771e-06,1.85351376750437e-05,5.19631223401317e-06,2.56601781998725e-05,-6.85151027523602e-06,-2.27209144004725e-05,6.22523711030571e-09,2.22048567284237e-08,2.55286615659954e-08,9.60175909837755e-08,5.36061039900584e-08,1.02204456927313e-07
109_LM,-2.44227391615745e-08,-2.82356751172822e-09,-5.08838957367364e-08,6.90279785268068e-09,1.01658026915433e-08,-1.20518984834755e-08,1.13976209954034e-08,-3.64445963459452e-09,-4.88386290808507e-06,-2.68049686580776e-06,-1.78539211035685e-05,2.10596282877034e-06,-3.6088842567245e-07,-4.91390174994615e-06,7.84384366115985e-06,-2.86035145118663e-06,4.71932660994551e-09,4.59265061729508e-09,-6.41631973425556e-09,1.567997914303e-08,3.63735116136652e-08,-5.57957316128512e-09
110_JS,8.0961661279762e-08,2.59856919939241e-08,2.80663389692271e-08,4.64888759660975e-08,6.00213439387083e-08,3.31101890385984e-08,-2.38358034024891e-08,-1.35483847499103e-08,3.14908196763714e-05,1.19949330184975e-05,1.251198577883e-05,1.72176861516199e-05,2.42514738945497e-05,1.61307469720102e-05,-1.57800642015236e-05,-8.74043203845135e-06,1.00251738228857e-07,3.4189117998031e-08,3.36296553145014e-08,5.99644294687915e-08,7.75377761679954e-08,3.83207971706646e-08
113_ID,-9.71065820687798e-09,5.99195560485565e-09,-8.13905151080993e-09,6.04949103682787e-09,-5.97177799833303e-10,1.48557314152143e-08,2.2432478377331e-09,-3.88369205668949e-09,-1.5971413469016e-06,4.17440781603269e-06,-6.21659876986276e-08,3.33579789180711e-06,-5.97289763349924e-07,5.98482951223769e-06,1.97693039743794e-06,-2.12381885681717e-06,6.16170397809712e-09,1.44804926716398e-08,1.05530251046104e-08,1.04291864144542e-08,8.4556911784959e-09,1.95271959715662e-08
114_ASB,2.81100976768695e-09,1.34343601697345e-08,6.29233609014772e-09,1.53031226230985e-08,-6.8437103377759e-09,1.44256380973658e-08,6.13488197615772e-09,-2.99899947670604e-09,2.44650903358316e-06,5.29445590242521e-06,4.54929447908196e-06,6.38372091016112e-06,4.36186191726826e-07,7.00328422008263e-06,4.86265948366794e-06,-1.52740257846731e-06,1.31251796493386e-08,2.25587617477767e-08,1.68015638484618e-08,2.17531003350289e-08,8.07333714961768e-09,1.85760732214339e-08
