subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-1.64221292688056e-08,5.20277527581929e-08,-8.21735849867645e-09,6.18267952194487e-08,-2.69481379115996e-09,5.20609010920884e-08,9.90039129470558e-09,-1.63000267111882e-08,-1.8117749793382e-08,7.81268219306369e-08,-1.25952050858655e-08,6.83609278032766e-08,-1.64385513980744e-05,5.20797805109511e-05,-8.22557585717513e-06,6.18886220146682e-05,-2.69750860495112e-06,5.21129619931805e-05
102_NG,-4.73855046181525e-08,-1.09041085364099e-08,-1.35118048510379e-08,2.42355790336881e-10,5.44813260216229e-08,3.57261517128229e-08,3.1127504294535e-08,2.67330160280109e-08,-4.4639309145573e-08,-2.6490660237674e-08,2.33538217270879e-08,8.99313568481201e-09,-4.74328901227706e-05,-1.09150126449463e-05,-1.3525316655889e-05,2.42598146127218e-07,5.45358073476445e-05,3.57618778645357e-05
103_JT,-4.77275899962364e-09,3.64012231944595e-08,-5.82386974331595e-10,3.92209771942686e-08,5.05681885008956e-09,2.6494615354382e-08,6.47498008855814e-09,-9.9002244892124e-10,-7.05736706288973e-09,4.02109996431898e-08,-1.41816123846857e-09,2.74846378033032e-08,-4.77753175862326e-06,3.6437624417654e-05,-5.82969361305927e-07,3.92601981714628e-05,5.06187566893965e-06,2.65211099697364e-05
104_JD,-1.13190623383332e-07,-5.53827531446396e-08,7.29826456545249e-08,6.47937989931361e-08,4.35577229800841e-08,1.77554004190218e-07,8.4883196159986e-08,3.63150772282015e-08,-1.19005505054611e-08,2.84787217649346e-08,-4.1325473179902e-08,1.41238926962017e-07,-0.000113303814006715,-5.54381358977843e-05,7.30556283001794e-05,6.48585927921292e-05,4.36012807030641e-05,0.000177731558194408
105_JB,-1.01761801649295e-07,-1.05486579570323e-08,-2.73883201670021e-08,-2.88303040343048e-09,1.6217429246249e-07,9.39313461253576e-08,4.58225320091808e-08,-1.58446041821346e-08,-7.32108521761829e-08,1.29615737787041e-08,1.16351760453309e-07,1.09775950307492e-07,-0.000101863563450944,-1.05592066149894e-05,-2.74157084871691e-05,-2.88591343383391e-06,0.000162336466754953,9.40252774714829e-05
106_AE,3.40545009202385e-08,-4.16386665717363e-10,1.6931252565452e-08,1.2945717125683e-08,2.6054028842639e-08,2.09577986845119e-08,-1.02247093393137e-08,-1.78874149462688e-09,2.71559619047657e-08,1.47344586203099e-08,3.62787381819527e-08,2.27465401791388e-08,3.40885554211587e-05,-4.16803052383081e-07,1.69481838180174e-05,1.29586628428087e-05,2.60800828714816e-05,2.09787564831964e-05
107_CW,2.95709563295521e-08,1.63136879909731e-08,-1.11948345834673e-08,1.74635907083189e-08,5.42119263686842e-08,4.88504733915371e-08,-9.11651947324688e-09,-6.52573503117359e-09,-2.07831511022038e-09,2.39893257394925e-08,6.33284458419311e-08,5.53762084227107e-08,2.96005272858817e-05,1.63300016789641e-05,-1.12060294180507e-05,1.74810542990272e-05,5.42661382950529e-05,4.88993238649287e-05
108_RW,1.74256446139712e-08,5.12197332788845e-08,4.41649699861828e-08,1.09006051023298e-07,5.83351250997798e-08,9.70384696124585e-08,-2.47676616748208e-08,-9.20933395667585e-08,6.89326316610036e-08,2.01099390590057e-07,8.31027867746006e-08,1.89131809179217e-07,1.74430702585852e-05,5.12709530121634e-05,4.4209134956169e-05,0.000109115057074322,5.83934602248796e-05,9.71355080820709e-05
109_LM,-6.807166070792e-08,-1.63294928605705e-07,-6.91900860396138e-08,3.76592907986274e-08,-2.76276333885968e-08,-8.29834936346031e-08,9.25135255047494e-08,7.22245844358078e-08,-1.61703611544363e-07,-3.45652936371804e-08,-1.20141158893346e-07,-1.55208078070411e-07,-6.81397323686279e-05,-0.00016345822353431,-6.92592761256534e-05,3.7696950089426e-05,-2.76552610219854e-05,-8.30664771282377e-05
110_JS,3.16813684386074e-07,5.59764941741109e-08,7.62409241800402e-08,6.75053213538391e-08,9.60012864411506e-08,8.23881366977378e-08,-2.96751264355284e-08,2.25964945531019e-08,1.05916050615569e-07,4.49088268007373e-08,1.25676412876679e-07,5.97916421446359e-08,0.00031713049807046,5.60324706682851e-05,7.63171651042203e-05,6.7572826675193e-05,9.60972877275918e-05,8.24705248344355e-05
