subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-1.89606333476638e-08,3.23173010378591e-08,-2.5064224661587e-08,6.66359535466632e-08,3.05281691261572e-08,5.26162257735274e-08,9.90039129470558e-09,-1.63000267111882e-08,-3.49646159562926e-08,8.29359802578513e-08,2.06277778314516e-08,6.89162524847156e-08,-1.89795939810115e-05,3.2349618338897e-05,-2.50892888862486e-05,6.67025895002098e-05,3.05586972952834e-05,5.26688419993009e-05
102_NG,-6.17014242897924e-08,-2.42335151564438e-08,-1.35118048510379e-08,2.42355790336881e-10,3.82789147926909e-08,9.83915072253943e-08,3.1127504294535e-08,2.67330160280109e-08,-4.4639309145573e-08,-2.6490660237674e-08,7.15141049815584e-09,7.16584911973834e-08,-6.17631257140822e-05,-2.42577486716003e-05,-1.3525316655889e-05,2.42598146127218e-07,3.83171937074835e-05,9.84898987326197e-05
103_JT,-4.77275899962364e-09,3.64012231944595e-08,-5.82386974331595e-10,3.92209771942686e-08,2.99787293143358e-08,3.23538012507952e-08,6.47498008855814e-09,-9.9002244892124e-10,-7.05736706288973e-09,4.02109996431898e-08,2.35037492257777e-08,3.33438236997165e-08,-4.77753175862326e-06,3.6437624417654e-05,-5.82969361305927e-07,3.92601981714628e-05,3.00087080436501e-05,3.2386155052046e-05
104_JD,-4.17378325335984e-08,-1.42649773647477e-08,7.83278253518652e-08,5.48036475624723e-08,-2.67408974261625e-07,-2.79288968821733e-07,8.4883196159986e-08,3.63150772282015e-08,-6.55537080812078e-09,1.84885703342708e-08,-3.52292170421611e-07,-3.15604046049935e-07,-4.1779570366132e-05,-1.42792423421124e-05,7.84061531772171e-05,5.48584512100348e-05,-0.000267676383235887,-0.000279568257790555
105_JB,-4.33970989911935e-08,1.39359934175567e-08,-2.73883201670021e-08,-2.88303040343048e-09,2.46733366012673e-07,8.4471104473366e-08,4.58225320091808e-08,-1.58446041821346e-08,-7.32108521761829e-08,1.29615737787041e-08,2.00910834003492e-07,1.00315708655501e-07,-4.34404960901847e-05,1.39499294109743e-05,-2.74157084871691e-05,-2.88591343383391e-06,0.000246980099378686,8.45555755778394e-05
106_AE,3.01613439665919e-08,7.56081269483242e-10,1.6931252565452e-08,1.2945717125683e-08,2.45841811268817e-08,3.25834514637282e-08,-1.02247093393137e-08,-1.78874149462688e-09,2.71559619047657e-08,1.47344586203099e-08,3.48088904661954e-08,3.43721929583551e-08,3.01915053105585e-05,7.56837350752726e-07,1.69481838180174e-05,1.29586628428087e-05,2.46087653080086e-05,3.26160349151919e-05
107_CW,6.54240076512186e-08,2.47762683102949e-08,-4.48868015191486e-08,2.2395261187241e-09,2.68416604045883e-10,6.48934107396742e-08,-9.11651947324688e-09,-6.52573503117359e-09,-3.57702820459017e-08,8.76526114989769e-09,9.38493607729276e-09,7.14191457708478e-08,6.54894316588698e-05,2.48010445786052e-05,-4.49316883206677e-05,2.24176564484282e-06,2.68685020649929e-07,6.49583041504139e-05
108_RW,-1.08488745570091e-09,5.20593799619286e-08,4.09905335708574e-08,1.11611837961535e-07,3.67891286488828e-08,6.8430858307327e-08,-2.47676616748208e-08,-9.20933395667585e-08,6.57581952456782e-08,2.03705177528294e-07,6.15567903237035e-08,1.60524197874086e-07,-1.08597234315661e-06,5.21114393418905e-05,4.10315241044283e-05,0.000111723449799497,3.68259177775317e-05,6.84992891656343e-05
109_LM,2.48488325781141e-08,-1.76303928282397e-07,-4.4558858939822e-08,6.93806069328816e-08,-2.10429497412406e-07,-2.88018439381807e-07,9.25135255047494e-08,7.22245844358078e-08,-1.37072384444571e-07,-2.84397750292611e-09,-3.02943022917155e-07,-3.60243023817615e-07,2.48736814106922e-05,-0.00017648023221068,-4.46034177987618e-05,6.94499875398145e-05,-0.000210639926909818,-0.000288306457821189
110_JS,3.16813684386074e-07,5.59764941741109e-08,7.62409241800402e-08,6.75053213538391e-08,1.35719401076087e-07,8.14538040697441e-08,-2.96751264355284e-08,2.25964945531019e-08,1.05916050615569e-07,4.49088268007373e-08,1.65394527511615e-07,5.88573095166422e-08,0.00031713049807046,5.60324706682851e-05,7.63171651042203e-05,6.7572826675193e-05,0.000135855120477163,8.15352578738138e-05
113_ID,-7.64146208178233e-08,-3.13147245076647e-08,5.96510198601572e-08,1.13583086809297e-07,-2.21546737045651e-07,-2.21583044314515e-07,6.87442034452079e-08,5.69628093102036e-08,-9.09318358505065e-09,5.6620277499093e-08,-2.90290940490859e-07,-2.78545853624719e-07,-7.64910354386412e-05,-3.13460392321723e-05,5.97106708800174e-05,0.000113696669896106,-0.000221768283782697,-0.00022180462735883
114_ASB,3.23100610228899e-08,3.67028341725869e-08,3.47873837237557e-08,4.37962886200093e-08,-2.2371352372303e-08,2.415381735351e-08,3.03129206129581e-08,7.21536671547931e-09,4.4744631107976e-09,3.658092190453e-08,-5.26842729852611e-08,1.69384506380307e-08,3.23423710839127e-05,3.67395370067595e-05,3.48221711074794e-05,4.38400849086293e-05,-2.23937237246753e-05,2.41779711708635e-05
115_HC,4.78527015077207e-08,-3.37943543449124e-08,3.76423951003247e-08,4.26345001210184e-08,-7.0245414612483e-08,-5.77418341679189e-08,-1.33129803799921e-09,-4.05481796409107e-10,3.89736931383239e-08,4.30399819174275e-08,-6.89141165744838e-08,-5.73363523715098e-08,4.79005542092284e-05,-3.38281486992573e-05,3.7680037495425e-05,4.26771346211395e-05,-7.03156600270955e-05,-5.77995760020868e-05
118_ZT,2.70958482502448e-08,7.62940671352683e-09,4.37759908080308e-09,-2.95283806658149e-09,6.64741895448688e-08,-3.69447947171818e-08,-1.56770533544888e-08,1.30943855949891e-08,2.00546524352919e-08,-1.60472236615706e-08,8.21512428993576e-08,-5.00391803121709e-08,2.7122944098495e-05,7.63703612024036e-06,4.38197667988388e-06,-2.95579090464807e-06,6.65406637344136e-05,-3.69817395118989e-05
119_GM,-2.11468313656789e-08,1.52263898052373e-08,-2.98631844230349e-08,1.1867805457283e-08,1.68937486107562e-08,2.3619042179842e-08,3.33471012611629e-08,-1.01914322170846e-09,-6.32102856841979e-08,1.28869486789914e-08,-1.64533526504068e-08,2.46381854015505e-08,-2.11679781970446e-05,1.52416161950425e-05,-2.9893047607458e-05,1.18796732627403e-05,1.69106423593669e-05,2.36426612220219e-05
120_PB,3.42582617917991e-08,-6.22709646717357e-08,3.14469035121466e-07,2.34173699116472e-07,5.13119036570956e-08,-1.25060641682682e-08,7.5674968265273e-09,2.15093313481019e-09,3.06901538294939e-07,2.32022765981662e-07,4.37444068305683e-08,-1.46569973030784e-08,3.42925200535909e-05,-6.23332356364075e-05,0.000314783504156588,0.000234407872815589,5.13632155607527e-05,-1.25185702324365e-05
121_MT,-9.27206894586156e-08,1.29226442646586e-07,-8.60827301697951e-08,-1.17532005599201e-08,9.91188728790905e-09,1.79168408792989e-08,-4.50839695013081e-08,-1.03982596601403e-08,-4.0998760668487e-08,-1.35494089977979e-09,5.49958567892171e-08,2.83151005394392e-08,-9.28134101480742e-05,0.000129355669089232,-8.61688128999649e-05,-1.176495376048e-05,9.92179917519696e-06,1.79347577201782e-05
122_KD,5.37813584808016e-08,-7.97052972007983e-09,-3.42481945321887e-08,-8.68413045993966e-09,-2.8743364462087e-08,-1.78061093177954e-08,1.44168670079586e-10,1.54298718168525e-08,-3.43923632022682e-08,-2.41140022767922e-08,-2.88875331321666e-08,-3.32359811346479e-08,5.38351398392824e-05,-7.97850024979991e-06,-3.42824427267208e-05,-8.6928145903996e-06,-2.87721078265491e-05,-1.78239154271132e-05
123_ES,3.93557447201041e-08,4.73852655417035e-08,4.55715416441987e-08,2.3907935173594e-08,-1.11259657201528e-08,-1.05188788092378e-08,3.87101077970795e-08,1.51622009003598e-08,6.86143384711922e-09,8.74573427323426e-09,-4.98360735172322e-08,-2.56810797095976e-08,3.93951004648242e-05,4.74326508072452e-05,4.56171131858429e-05,2.39318431087676e-05,-1.11370916858729e-05,-1.0529397688047e-05
124_CK,3.37541385095665e-08,5.85671494404516e-08,-1.65251868538066e-09,6.97353609886581e-09,1.17679610558046e-08,5.1521057232263e-08,4.11478567617858e-08,-2.05377797174648e-09,-4.28003754471665e-08,9.02731407061229e-09,-2.93798957059813e-08,5.35748352040095e-08,3.3787892648076e-05,5.86257165898921e-05,-1.65417120406604e-06,6.98050963496467e-06,1.17797290168604e-05,5.15725782894952e-05
