subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-2.15434450080746e-08,2.93402064810806e-08,-2.12198238275218e-08,7.06358951591e-08,3.40209020548937e-08,4.96055930814366e-08,9.90039129470557e-09,-1.63000267111882e-08,-3.11202151222274e-08,8.69359218702882e-08,2.41205107601881e-08,6.59056197926248e-08,-2.15649884530826e-05,2.93695466875616e-05,-2.12410436513494e-05,7.07065310542591e-05,3.40549229569485e-05,4.96551986745181e-05
102_NG,-6.17014242897924e-08,-2.42335151564438e-08,-1.06575651531806e-08,-1.42410419626356e-09,4.17106513131753e-08,6.40964842621239e-08,3.1127504294535e-08,2.67330160280109e-08,-4.17850694477156e-08,-2.81571202242744e-08,1.05831470186403e-08,3.7363468234113e-08,-6.17631257140822e-05,-2.42577486716003e-05,-1.06682227183338e-05,-1.42552830045982e-06,4.17523619644885e-05,6.4160580746386e-05
103_JT,-5.8264603127885e-09,3.54219630097445e-08,-4.56179632617638e-10,3.84603051650438e-08,2.56441465632306e-08,3.30096215822568e-08,6.47498008855814e-09,-9.9002244892124e-10,-6.93115972117577e-09,3.9450327613965e-08,1.91691664746725e-08,3.3999644031178e-08,-5.83228677310128e-06,3.54573849727542e-05,-4.56635812250256e-07,3.84987654702088e-05,2.56697907097939e-05,3.3042631203839e-05
104_JD,-4.8839686623883e-08,-1.16268068860612e-08,1.04894190528702e-07,1.011709204641e-07,-2.67463512376101e-07,-3.23443457628877e-07,8.4883196159986e-08,3.63150772282015e-08,2.00109943687165e-08,6.48558432358987e-08,-3.52346708536087e-07,-3.59758534857078e-07,-4.88885263105069e-05,-1.16384336929473e-05,0.000104999084719231,0.000101272091384564,-0.000267730975888477,-0.000323766901086505
105_JB,-5.26789955493169e-08,1.09842958962503e-08,-2.48183212464049e-08,1.66087371437086e-09,2.45428068254223e-07,1.06304678576846e-07,4.58225320091808e-08,-1.58446041821346e-08,-7.06408532555857e-08,1.75054778965055e-08,1.99605536245042e-07,1.22149282758981e-07,-5.27316745448663e-05,1.09952801921465e-05,-2.48431395676513e-05,1.66253458808523e-06,0.000245673496322478,0.000106410983255423
106_AE,3.01613439665919e-08,7.56081269483242e-10,2.09647656896395e-08,1.53258049210282e-08,2.59497529505093e-08,2.73611297506993e-08,-1.02247093393137e-08,-1.78874149462688e-09,3.11894750289532e-08,1.71145464156551e-08,3.6174462289823e-08,2.91498712453261e-08,3.01915053105585e-05,7.56837350752725e-07,2.09857304553291e-05,1.53411307259492e-05,2.59757027034598e-05,2.738849088045e-05
107_CW,7.13228566784029e-08,1.83567650353473e-08,-4.25923035079651e-08,6.89894506441875e-09,6.70757926362859e-09,6.25307060376271e-08,-9.11651947324688e-09,-6.52573503117359e-09,-3.34757840347182e-08,1.34246800955923e-08,1.58240987368755e-08,6.90564410688007e-08,7.13941795350813e-05,1.83751218003827e-05,-4.2634895811473e-05,6.90584400948317e-06,6.71428684289221e-06,6.25932367436648e-05
108_RW,-1.08488745570091e-09,5.20593799619286e-08,4.1323215637687e-08,1.09294223708782e-07,3.74967329104601e-08,7.44186729899701e-08,-2.47676616748208e-08,-9.20933395667585e-08,6.60908773125077e-08,2.01387563275541e-07,6.22643945852809e-08,1.66512012556729e-07,-1.08597234315661e-06,5.21114393418905e-05,4.13645388533247e-05,0.000109403517932491,3.75342296433706e-05,7.449309166296e-05
109_LM,-1.76734278706477e-07,-3.24002207147088e-07,-8.69619481698772e-08,2.64531328360189e-08,-8.67427658357948e-08,-1.38069730377746e-07,9.25135255047494e-08,7.22245844358078e-08,-1.79475473674627e-07,-4.57714515997889e-08,-1.79256291340544e-07,-2.10294314813554e-07,-0.000176911012985183,-0.000324326209354235,-8.70489101180471e-05,2.64795859688549e-05,-8.68295086016306e-05,-0.000138207800108124
110_JS,2.50588959647205e-07,5.28027367314373e-08,7.84260915561792e-08,7.09748022573092e-08,1.27641528137384e-07,7.22434967885028e-08,-3.19918405725679e-08,1.86208125362987e-08,1.10417932128747e-07,5.23539897210105e-08,1.59633368709952e-07,5.36226842522041e-08,0.000250839548606852,5.28555394681688e-05,7.85045176477354e-05,7.10457770595665e-05,0.000127769169665521,7.23157402852913e-05
