subID,mean_phys_J19,mean_phys_L19,mean_des_J19,mean_des_L19,mean_bel_J19,mean_bel_L19,mean_base_J19,mean_base_L19,area_phys_J19,area_phys_L19,area_des_J19,area_des_L19,area_bel_J19,area_bel_L19,area_base_J19,area_base_L19,max_phys_J19,max_phys_L19,max_des_J19,max_des_L19,max_bel_J19,max_bel_L19
101_JM,-2.43704690959785e-08,6.82796945061218e-08,-2.54147035117702e-08,8.11783987899845e-08,7.37624423253538e-08,3.91519307224626e-08,-8.18410245227064e-09,-1.95860359287363e-08,-1.79713721589258e-05,4.89898276099248e-05,-1.56516191576672e-05,7.80502647401531e-05,6.7794097755993e-05,4.65551972694846e-05,-6.14626094165525e-06,-1.4709112982481e-05,5.98487686494539e-08,1.17695829276128e-07,1.59952980429239e-08,1.45965613892995e-07,1.39731535699617e-07,1.15016207733889e-07
102_NG,6.06764941443136e-08,-1.66857153020851e-08,-8.20369374508503e-09,3.07568523720181e-08,-1.21829997827483e-08,1.47964961574788e-07,7.04958160270374e-09,5.73373690288698e-09,6.87796117356429e-05,-9.9791467953595e-06,2.2273110421196e-06,4.68981431986464e-05,-3.39982256714293e-06,0.00014602414469451,5.29423578363051e-06,4.30603641406812e-06,1.28672313830396e-07,7.00613272984217e-08,8.44975460123627e-08,1.36093793737614e-07,1.24654859099904e-07,2.53455130857744e-07
103_JT,1.15604259753151e-07,-5.38343581522261e-08,8.99017870478677e-08,1.84713918360592e-08,2.78401888980515e-09,1.10092410904519e-07,-1.8103496816646e-08,7.27701606719929e-08,8.49557134074809e-05,-4.88991324537279e-05,8.01152524708226e-05,3.57491389453682e-05,-2.52351585200702e-06,9.81865395004781e-05,-1.35957261093011e-05,5.46503906646667e-05,1.97633231723474e-07,-4.36819350710163e-09,1.68824618697331e-07,1.07651534759414e-07,1.16930952610247e-07,1.91338467037876e-07
104_JD,-2.03490097752353e-07,4.2648169056042e-08,-6.83931925918955e-08,1.82998017931285e-08,-1.06603763747787e-07,-1.99596511478411e-08,8.09226092818613e-08,5.98823344766111e-09,-0.00012829707937635,4.06946574763872e-05,-3.32248035376532e-05,1.92096787846892e-05,-0.000124594671969757,-3.33842217877143e-06,6.07728795706779e-05,4.49716331919349e-06,3.6380753488974e-08,1.17386246566088e-07,2.31660972170206e-07,3.89198877925991e-08,2.41977545785476e-07,6.20040699216568e-08
105_JB,2.02667155837923e-07,3.37206200476095e-10,-1.1893763836269e-09,-1.01070042854432e-08,2.00540971892983e-07,8.67409133965326e-08,-6.06334121215392e-08,4.16859009640494e-09,0.00015808106354379,5.05563528662999e-06,5.6447980219285e-06,-1.96424522137642e-06,0.000201606745446343,7.00477337672915e-05,-4.5535692503276e-05,3.13061116240011e-06,3.47184965127431e-07,6.85017499335038e-08,1.09805914338675e-07,6.22079350265087e-08,3.97200433148025e-07,1.81993448762379e-07
106_AE,-1.10213644731646e-08,2.94717826300527e-08,4.46108949226104e-08,3.71047472369734e-08,1.98867098053344e-08,-5.00663926972175e-09,-2.45675994509337e-08,-4.78928186873694e-10,4.0797724524847e-06,2.06385748116622e-05,3.00450039748319e-05,2.60370323089112e-05,3.77956246947192e-06,-3.04804940914809e-07,-1.84502671876512e-05,-3.59675068342144e-07,4.89606180391061e-08,6.06254746654926e-08,1.42552975381979e-07,7.09709223194424e-08,1.48921627937218e-07,3.38730464454655e-08
107_CW,-1.64037387495562e-07,-8.1837489240392e-09,2.90086690762634e-08,-9.19501253042413e-09,2.49877031843029e-08,5.50323480342638e-08,6.40499792942467e-10,1.3523757965471e-08,-0.000134239005306157,-7.29961534863117e-06,3.90973416872012e-05,9.64666939191218e-07,2.26346431720951e-05,6.55012461959782e-05,4.81015344499793e-07,1.01563422320688e-05,-1.14246437844506e-07,1.70790488322453e-08,1.03683409674814e-07,3.50973726501395e-08,1.48565962065398e-07,1.38669916690829e-07
108_RW,3.62787469586155e-08,4.63850347289523e-08,6.62429329214061e-08,3.68279225351745e-08,-2.91232926113639e-08,3.69801565506591e-08,-6.35628992021364e-09,-4.76988502929047e-08,3.03443798459949e-05,3.68732449295879e-05,6.57634115431716e-05,3.03037500432847e-05,-3.481983980694e-05,2.30873384935272e-05,-4.77357373008044e-06,-3.58218365699714e-05,8.54742594733536e-08,9.94524046922796e-08,1.08821406579154e-07,9.87482457293606e-08,2.2508842999753e-08,9.47364427236092e-08
109_LM,4.7342239046662e-08,-6.96032736389462e-10,-1.69042220068509e-07,2.11442648215056e-08,-1.30057268756688e-07,-7.39470626404371e-08,2.94935567280036e-08,-1.30384167175585e-09,4.94423607175031e-05,4.89029685314793e-05,-0.000156519072984158,1.97199711893573e-05,-0.000139293250751716,-7.26761267081791e-05,2.21496611027307e-05,-9.79185095488646e-07,1.93469995262179e-07,1.22763234368472e-07,-7.875413994621e-08,5.53010824806202e-08,3.87283494151502e-08,4.42907037967466e-08
110_JS,1.95892605736513e-07,4.4128048925851e-08,8.81250969470352e-08,7.33349910484625e-08,2.40071289037676e-08,3.50412032478422e-08,-5.01096921845245e-08,-9.08089628812457e-10,0.000167547485469948,4.24000909685326e-05,8.64198241667e-05,6.59987420480028e-05,-9.13014263526272e-07,2.94545862948101e-05,-3.76323788305779e-05,-6.81975311238155e-07,2.8525660926682e-07,8.4085872441373e-08,1.85534920822702e-07,1.11333296721304e-07,1.08621584182565e-07,6.59832731201471e-08
113_ID,-3.39045769148442e-08,-1.25316313565261e-08,9.10146474094611e-08,7.87078466758649e-08,-9.62535547625474e-08,-1.07214800389843e-07,9.1963759753392e-09,1.12539481451435e-08,-2.99343983574396e-05,-1.05869860827382e-05,7.52427394919626e-05,6.28062157119438e-05,-7.62735981347274e-05,-7.87196872886019e-05,6.90647835747974e-06,8.45171505700274e-06,5.85066360227519e-10,1.93938816079272e-09,1.45288969003051e-07,1.2802234341209e-07,-9.55488253873432e-09,-2.26165619248693e-08
114_ASB,-4.30998295850345e-08,4.66674608913132e-08,1.86376852558393e-08,4.93986854342844e-08,-5.04383474467999e-09,1.8257281984693e-08,2.25009682849501e-08,-1.02691081075971e-08,-3.41009336315481e-05,3.41816416777228e-05,1.3396416493736e-05,4.04889817484337e-05,1.68104008854368e-05,2.06584099811802e-05,1.68982271819975e-05,-7.71210018880542e-06,2.3373211420326e-08,8.81441374898643e-08,8.87765811433101e-08,7.94358854933696e-08,1.00949514281748e-07,4.19865821943059e-08
115_HC,2.19568503534791e-08,-4.61574590211888e-08,2.63994285705993e-08,3.89803023386572e-08,-4.49635322636656e-09,-1.59745346202547e-09,2.13545275909503e-08,9.67105898867966e-09,1.86048905730914e-05,-3.83467917683313e-05,2.17540135578789e-05,3.29340384588021e-05,-1.2723007275452e-06,-2.80564760809952e-07,1.60372502208036e-05,7.26296530049843e-06,4.8230536163156e-08,4.87463749067345e-08,5.43629005046769e-08,7.9500240198472e-08,2.29353157471971e-08,2.90649099599576e-08
