subID,mean_phys_J19,mean_phys_L19,mean_des_J19,mean_des_L19,mean_bel_J19,mean_bel_L19,mean_base_J19,mean_base_L19,area_phys_J19,area_phys_L19,area_des_J19,area_des_L19,area_bel_J19,area_bel_L19,area_base_J19,area_base_L19,max_phys_J19,max_phys_L19,max_des_J19,max_des_L19,max_bel_J19,max_bel_L19
101_JM,-4.66594624613903e-09,1.53264068551237e-08,-1.26700021750314e-08,3.399542743679e-08,1.99520192845937e-08,7.81342018193264e-09,-3.11555873822263e-09,-1.44984235798529e-08,-1.91157792633648e-06,1.14647278059576e-05,-5.85186341673148e-06,3.18328260304378e-05,1.23201078262513e-05,8.8078453654005e-06,-2.33978461240519e-06,-1.08883161084696e-05,7.59134054602572e-09,3.118322503178e-08,9.37580408715273e-09,6.66636232431176e-08,4.01889831983142e-08,2.12918830949511e-08
102_NG,-1.10749629661705e-08,-1.2133623433962e-08,-1.00096631014884e-08,-1.02995055602627e-08,2.55176185621632e-08,3.80199946739527e-08,8.28167268018982e-09,5.86689780136502e-09,-8.20682457758934e-06,-8.93324783031986e-06,-7.41779176688294e-06,-2.72481100877565e-06,2.74094118512036e-05,3.78240884193252e-05,6.21953618282255e-06,4.40604024882513e-06,5.70595587484304e-09,1.20132844997577e-09,7.58540963259641e-09,8.20092446907212e-09,5.23953651492538e-08,6.56826838502121e-08
103_JT,4.92669459290531e-09,1.8973435581506e-08,-3.11010904831839e-09,1.43743596609594e-08,9.27408633049709e-10,6.09877471992498e-09,1.32496895003994e-09,-4.43434197942369e-09,3.00699731918875e-06,1.76084251811396e-05,-1.65983585223959e-06,1.27528578896791e-05,-1.08610017372802e-07,5.79975766948812e-06,9.95051681479993e-07,-3.33019082654719e-06,1.21341891913717e-08,3.54133964227042e-08,5.1062630437466e-09,2.90795635560862e-08,1.49452857676499e-08,1.67526597010028e-08
104_JD,-2.51490355696328e-08,1.01762505131277e-08,2.06643454449445e-08,1.56247875618804e-09,-3.32376739627444e-08,-1.6889817926966e-08,2.04793944376368e-08,1.22121707721722e-08,-2.63353492560721e-05,9.658500786634e-06,2.22076971809714e-05,4.71179131302763e-06,-2.6066602483826e-05,-9.94723248826721e-06,1.53800252226652e-05,9.17134024990133e-06,5.4606378075676e-09,3.02578235987588e-08,5.2145027697301e-08,1.29020066063371e-08,1.99334687720733e-08,2.17096092773933e-08
105_JB,-2.29538137426392e-08,3.1981991537961e-08,-1.0459807130172e-08,-1.19366979159787e-08,8.32334400873286e-08,3.11406832211837e-08,6.04400333097001e-09,-6.54482508333434e-09,-1.56704398250924e-05,2.57033860700678e-05,-9.72901769263063e-06,-1.0103703756112e-05,7.13967107524206e-05,2.7879789389268e-05,4.53904650155848e-06,-4.91516363758409e-06,1.21811833340469e-08,5.19332925492613e-08,9.9131499897439e-09,3.27553495946262e-09,1.11456375649956e-07,6.16973743305202e-08
106_AE,8.63195231780032e-09,-3.68910489217644e-09,6.16949219887418e-09,7.16080295325325e-09,5.22395435231505e-09,1.26871096531184e-08,-4.7955179959349e-09,3.38728849038922e-09,7.81123088060167e-06,-4.48619660419059e-06,4.3194282184862e-06,4.72290291635149e-06,4.46790041667187e-06,1.12854853697618e-05,-3.60143401494711e-06,2.5438536562823e-06,1.87755475720003e-08,5.54502364950942e-09,1.61757970364786e-08,1.88027710479534e-08,1.56962201240932e-08,2.19665505193923e-08
107_CW,4.12706776185702e-08,1.52036540557909e-08,-2.78371135010238e-08,1.02172914636028e-09,1.37928061515949e-08,2.85244583434656e-08,-5.23176657661987e-09,-7.77489934622219e-09,3.04096009163799e-05,1.2383506926172e-05,-2.12795987843222e-05,2.92143402003114e-06,1.38467163594694e-05,2.42169172249547e-05,-3.92905669904152e-06,-5.83894940901286e-06,8.13490380121628e-08,3.39937326077187e-08,-9.25732068567041e-09,1.3710091805489e-08,3.33444646360389e-08,4.30632935491028e-08
108_RW,-5.90688251304014e-09,1.39654612573689e-08,7.62501754535285e-09,4.96262825481158e-08,1.53055476986092e-08,4.29065103235595e-08,-1.08136850260963e-08,-3.86673465776466e-08,-4.49432870626273e-06,1.05799871277421e-05,6.59791062397697e-06,3.78239970809602e-05,8.35882058975182e-06,3.36047805887805e-05,-8.12107745459834e-06,-2.90391772798126e-05,2.804571393522e-10,3.90146774750021e-08,2.09551682470029e-08,9.58133760402838e-08,4.54837140489997e-08,8.65934396729222e-08
109_LM,-6.20845674586673e-08,-3.62114814688287e-08,-6.40864259376156e-08,1.88596460088614e-09,-8.23129557705247e-10,-8.54740018679331e-09,1.29152802491188e-08,-4.12974054466037e-09,-4.82400448009451e-05,-3.06295510702122e-05,-5.53480712301005e-05,8.3835329241868e-07,-5.36553892221058e-06,-8.26612141717034e-06,9.69937546708825e-06,-3.10143514903994e-06,-1.22169212765628e-08,-1.52052179582273e-08,5.36245400456501e-10,9.45711280534063e-09,2.41909481680853e-08,-1.85022855977706e-09
110_JS,6.6776970168335e-08,2.14290202144688e-08,2.476727708382e-08,3.77666497306781e-08,6.15550344869172e-08,2.4981276340043e-08,-2.70096786891055e-08,-1.53524306553578e-08,5.79547779105798e-05,2.03912215809425e-05,1.98945894723988e-05,3.21745358734336e-05,5.19879504427937e-05,2.17533176344311e-05,-2.02842686955182e-05,-1.15296754221737e-05,1.00251738228857e-07,3.4189117998031e-08,3.52059009613751e-08,5.99644294687915e-08,9.8989870052283e-08,3.95327367598107e-08
