subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-1.63191357908808e-08,8.271614499665e-08,-2.86161889903914e-09,8.03015496772712e-08,4.09080725457178e-08,7.52243695043855e-08,-9.82922945108996e-09,-2.79096027981431e-08,6.96761055205082e-09,1.08211152475414e-07,5.07373019968078e-08,1.03133972302529e-07,-1.63354549266717e-05,8.27988611416466e-05,-2.86448051793817e-06,8.03818512269485e-05,4.09489806182636e-05,7.52995938738898e-05
102_NG,6.59210256480678e-08,-4.33182985943038e-08,3.27471614389843e-09,2.37906603908839e-08,-1.11817334742146e-07,1.28524952756158e-07,2.33050456558695e-08,3.64082201531641e-08,-2.0030329511971e-08,-1.26175597622802e-08,-1.35122380398015e-07,9.21167326029936e-08,6.59869466737159e-05,-4.33616168928981e-05,3.27799086004233e-06,2.38144510512748e-05,-0.000111929152076888,0.000128653477708914
103_JT,1.0887023275877e-07,-5.75805776076275e-08,1.13189950900988e-07,2.0233590461671e-08,2.78569399351551e-08,9.52598841350282e-08,1.50268743374585e-08,9.6910147209946e-08,9.81630765635298e-08,-7.6676556748275e-08,1.28300655976965e-08,-1.65026307491778e-09,0.000108979102991528,-5.76381581852351e-05,0.000113303140851889,2.02538240521327e-05,2.78847968750902e-05,9.53551440191633e-05
104_JD,1.39753232985743e-08,2.07119788830772e-09,-3.2731979684705e-08,-2.28250742175147e-09,1.73604676847577e-07,9.76166347263584e-08,7.8940575922944e-08,1.94195009813446e-08,-1.11672555607649e-07,-2.1702008403096e-08,9.46641009246328e-08,7.81971337450138e-08,1.39892986218729e-05,2.07326908619603e-06,-3.27647116643897e-05,-2.28478992917322e-06,0.000173778281524424,9.77142513610847e-05
105_JB,1.20115672342125e-07,-3.10474354844912e-08,-9.75062057653246e-09,-7.55400767231785e-09,1.41522411928793e-07,9.56714810589881e-08,4.13309061164017e-09,-1.45408970392764e-08,-1.38837111881726e-08,6.98688936695858e-09,1.37389321317152e-07,1.10212378098265e-07,0.000120235788014467,-3.10784829199757e-05,-9.760371197109e-06,-7.56156167999017e-06,0.000141663934340721,9.57671525400471e-05
106_AE,4.81379414273792e-10,2.68329671589696e-08,4.5501758268051e-08,4.00754630194937e-08,1.09953199780869e-08,-4.82219999379805e-09,-4.15184489575029e-08,-7.10103572999124e-09,8.70202072255538e-08,4.71764987494849e-08,5.25137689355897e-08,2.27883573619319e-09,4.81860793688066e-07,2.68598001261286e-05,4.5547260026319e-05,4.01155384825132e-05,1.1006315298065e-05,-4.82702219379185e-06
107_CW,-1.13071453773037e-07,-2.26844172520314e-08,6.03088259896894e-08,2.66022989267735e-08,9.34894507504303e-08,5.33631826356128e-08,-3.27855385838761e-08,2.36176492562789e-08,9.30943645735655e-08,2.98464967049465e-09,1.26274989334306e-07,2.97455333793339e-08,-0.00011318452522681,-2.27071016692834e-05,6.03691348156791e-05,2.66289012257003e-05,9.35829402011808e-05,5.34165458182484e-05
108_RW,3.9596961636538e-08,4.82872905093286e-08,6.32603143908181e-08,5.03082000800316e-08,-2.50509951617587e-09,4.3591453267163e-08,-9.77562137500048e-09,-6.82740077125092e-08,7.30359357658186e-08,1.18582207792541e-07,7.27052185882461e-09,1.11865460979672e-07,3.96365585981746e-05,4.8335577799838e-05,6.33235747052089e-05,5.03585082801117e-05,-2.50760461569205e-06,4.36350447204302e-05
109_LM,3.90292325965381e-08,3.96116123226429e-08,-1.2252621559606e-07,3.55927501110217e-08,2.70419986596731e-08,-3.77036312768198e-08,1.36717234895911e-08,1.8967143745902e-08,-1.36197939085651e-07,1.66256063651197e-08,1.3370275170082e-08,-5.66707750227218e-08,3.90682618291346e-05,3.96512239349656e-05,-0.000122648741811656,3.56283428611327e-05,2.70690406583328e-05,-3.77413349080966e-05
110_JS,2.83709076860905e-07,5.58896334475572e-08,9.78123637484754e-08,8.11117538580345e-08,2.78793125271312e-07,8.00534583588074e-08,1.92324007436646e-08,3.87580352765301e-08,7.85799630048107e-08,4.23537185815044e-08,2.59560724527648e-07,4.12954230822773e-08,0.000283992785937766,5.59455230810048e-05,9.79101761122238e-05,8.11928656118925e-05,0.000279071918396584,8.01335118171662e-05
113_ID,-2.96071958553589e-08,-1.83113476360305e-08,7.94891019963789e-08,8.14284638190455e-08,1.42512448759404e-07,1.61323004555291e-07,4.01552281566874e-08,4.99858920636384e-08,3.93338738396915e-08,3.14425717554071e-08,1.02357220602716e-07,1.11337112491653e-07,-2.96368030512143e-05,-1.83296589836665e-05,7.95685910983753e-05,8.15098922828645e-05,0.000142654961208163,0.000161484327559846
114_ASB,-5.83934360115601e-08,4.0598809241983e-08,4.60297934476123e-09,5.06466407844949e-08,6.20378945114524e-09,2.65544586626867e-08,2.00656797572407e-08,3.54229063413983e-09,-1.54627004124795e-08,4.71043501503551e-08,-1.38618903060955e-08,2.30121680285469e-08,-5.84518294475717e-05,4.0639408051225e-05,4.60758232410599e-06,5.06972874252794e-05,6.20999324059638e-06,2.65810131213494e-05
115_HC,1.00269038849989e-08,-3.85227020884019e-08,2.52068516382653e-08,3.8714482730154e-08,-9.29010066305458e-09,-6.54113968675705e-09,2.42398878704452e-08,7.5214069098209e-09,9.66963767820067e-10,3.11930758203331e-08,-3.35299885334998e-08,-1.4062546596578e-08,1.00369307888839e-05,-3.85612247904903e-05,2.52320584899036e-05,3.87531972128842e-05,-9.29939076371764e-06,-6.54768082644381e-06
118_ZT,5.05834853050149e-08,-6.04863434661661e-09,-5.97517294468607e-08,2.81115556313738e-08,-2.83098569528967e-08,-2.89972525268991e-08,4.49880707908288e-08,2.72478228468491e-08,-1.04739800237689e-07,8.63732784524722e-10,-7.32979277437255e-08,-5.62450753737482e-08,5.06340687903199e-05,-6.05468298096322e-06,-5.98114811763075e-05,2.81396671870052e-05,-2.83381668098496e-05,-2.9026249779426e-05
119_GM,-1.74752485085592e-07,-5.33095222740731e-08,9.12866312757187e-08,1.36862220296077e-07,-3.07888762213832e-07,2.81848250550474e-08,1.61337644061696e-07,2.38208399905448e-08,-7.00510127859771e-08,1.13041380305532e-07,-4.69226406275528e-07,4.36398506450263e-09,-0.000174927237570677,-5.33628317963471e-05,9.13779179069944e-05,0.000136999082516373,-0.000308196650976046,2.82130098801024e-05
120_PB,2.85208780332592e-07,2.91143403440986e-07,2.04150649155094e-07,1.45681035008458e-07,-2.15063718069678e-07,-8.53539604288934e-08,7.52122862421554e-08,2.88683313787253e-08,1.28938362912938e-07,1.16812703629733e-07,-2.90276004311833e-07,-1.14222291807619e-07,0.000285493989112924,0.000291434546844427,0.000204354799804249,0.000145826716043466,-0.000215278781787747,-8.54393143893223e-05
121_MT,-6.11017374385844e-08,9.71614828757462e-08,2.38366318461551e-08,6.06018528311299e-08,-3.90308356711565e-08,8.21635500611513e-09,-9.77724506476288e-09,-5.87124087969273e-09,3.36138769109179e-08,6.64730937108226e-08,-2.92535906063936e-08,1.40875958858079e-08,-6.1162839176023e-05,9.7258644358622e-05,2.38604684780012e-05,6.06624546839611e-05,-3.90698665068277e-05,8.22457136112125e-06
122_KD,1.84048605175837e-08,2.6775842134309e-09,4.12728115528667e-09,8.04168335090764e-09,-1.71631945697848e-08,7.12736998471052e-09,1.80642081604753e-09,-9.90043775667491e-10,2.32086033923914e-09,9.03172712657513e-09,-1.89696153858323e-08,8.11741376037802e-09,1.84232653781013e-05,2.68026179764433e-06,4.13140843644195e-06,8.04972503425855e-06,-1.71803577643545e-05,7.13449735469523e-06
123_ES,7.1229632672503e-08,1.16966215523566e-08,1.74318179307772e-07,1.35186946641476e-08,-2.00541117953423e-07,-7.48724381040243e-08,8.95037278259295e-08,8.95767324945706e-08,8.48144514818423e-08,-7.6058037830423e-08,-2.90044845779352e-07,-1.64449170598595e-07,7.13008623051755e-05,1.1708318173909e-05,0.00017449249748708,1.35322133588117e-05,-0.000200741659071376,-7.49473105421283e-05
124_CK,-2.71510925323933e-07,6.73141714808258e-08,1.27162086536311e-08,-2.46033708572399e-08,2.06875235453448e-08,6.83029868426088e-08,1.98901847743476e-07,1.4650979091058e-08,-1.86185639089845e-07,-3.92543499482979e-08,-1.78214324198131e-07,5.36520077515508e-08,-0.000271782436249257,6.73814856523066e-05,1.27289248622847e-05,-2.46279742280971e-05,2.07082110688901e-05,6.83712898294514e-05
