subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
101_JM,-2.42978968069047e-08,8.20233124667298e-08,-2.63793052298766e-08,9.9928506908815e-08,8.678393372319e-08,6.01879149932465e-08,-9.82922945108996e-09,-2.79096027981431e-08,-1.65500757787866e-08,1.27838109706958e-07,9.66131631742799e-08,8.80975177913896e-08,-2.43221947037116e-05,8.21053357791965e-05,-2.64056845351065e-05,0.000100028435415724,8.68707176569132e-05,6.02481029082397e-05
102_NG,7.70033012667584e-08,-3.06819078150886e-08,3.27471614389843e-09,2.37906603908839e-08,-2.83242395733162e-08,2.21871385967821e-07,2.33050456558695e-08,3.64082201531641e-08,-2.0030329511971e-08,-1.26175597622802e-08,-5.16292852291856e-08,1.85463165814656e-07,7.70803045680252e-05,-3.07125897229037e-05,3.27799086004233e-06,2.38144510512748e-05,-2.83525638128895e-05,0.000222093257353788
103_JT,1.0887023275877e-07,-5.75805776076275e-08,1.13189950900988e-07,2.0233590461671e-08,8.05725846525433e-09,1.02158890607999e-07,1.50268743374585e-08,9.6910147209946e-08,9.81630765635298e-08,-7.6676556748275e-08,-6.9696158722042e-09,5.2487433980534e-09,0.000108979102991528,-5.76381581852351e-05,0.000113303140851889,2.02538240521327e-05,8.06531572371959e-06,0.000102261049498607
104_JD,-9.18463322335236e-08,3.72651369943469e-08,-2.50188840192106e-10,-2.16406512132045e-09,-1.34015373635307e-07,-3.23756752979645e-08,7.8940575922944e-08,1.94195009813446e-08,-7.91907647631361e-08,-2.1583566102665e-08,-2.1295594955825e-07,-5.17951762793091e-08,-9.19381785657572e-05,3.73024021313412e-05,-2.50439029032298e-07,-2.16622918644177e-06,-0.000134149389008942,-3.24080509732625e-05
105_JB,1.65260532761759e-07,1.07623582489719e-08,-9.75062057653246e-09,-7.55400767231785e-09,2.50860896384438e-07,9.2567328253969e-08,4.13309061164017e-09,-1.45408970392764e-08,-1.38837111881726e-08,6.98688936695858e-09,2.46727805772798e-07,1.07108225293245e-07,0.000165425793294521,1.07731206072209e-05,-9.760371197109e-06,-7.56156167999017e-06,0.000251111757280822,9.2659895582223e-05
106_AE,-7.96370696854981e-09,3.03220176845329e-08,4.5501758268051e-08,4.00754630194937e-08,1.60753628739241e-08,5.27538685549626e-09,-4.15184489575029e-08,-7.10103572999124e-09,8.70202072255538e-08,4.71764987494849e-08,5.7593811831427e-08,1.23764225854875e-08,-7.97167067551836e-06,3.03523397022174e-05,4.5547260026319e-05,4.01155384825132e-05,1.6091438236798e-05,5.28066224235176e-06
107_CW,-2.78234838478338e-07,3.92518377922022e-09,4.96087247642932e-08,1.29241850668065e-08,4.26496349133254e-08,6.92148717720951e-08,-3.27855385838761e-08,2.36176492562789e-08,8.23942633481693e-08,-1.06934641894724e-08,7.54351734972015e-08,4.55972225158163e-08,-0.000278513073316816,3.92910896299944e-06,4.96583334890575e-05,1.29371092518733e-05,4.26922845482387e-05,6.92840866438672e-05
108_RW,3.86007504935949e-08,5.71669910943504e-08,7.61632736393567e-08,4.73581033153432e-08,-3.55451211699726e-08,3.59147344675258e-08,-9.77562137500048e-09,-6.82740077125092e-08,8.59388950143572e-08,1.15632111027852e-07,-2.57694997949721e-08,1.04188742180035e-07,3.86393512440885e-05,5.72241580854447e-05,7.62394369129961e-05,4.74054614186586e-05,-3.55806662911426e-05,3.59506492019933e-05
109_LM,4.56884832743166e-08,-4.35845134047955e-09,-1.09938491942207e-07,6.30419036488518e-08,-1.62314694337787e-07,-1.45179426685959e-07,1.36717234895911e-08,1.8967143745902e-08,-1.23610215431798e-07,4.40747599029499e-08,-1.75986417827378e-07,-1.64146570431861e-07,4.57341717575909e-05,-4.36280979182003e-06,-0.000110048430434149,6.31049455525007e-05,-0.000162477009032125,-0.000145324606112645
110_JS,2.83709076860905e-07,5.58896334475572e-08,9.78123637484754e-08,8.11117538580345e-08,2.09862765134197e-08,5.37495890194823e-08,1.92324007436646e-08,3.87580352765301e-08,7.85799630048107e-08,4.23537185815044e-08,1.75387576975506e-09,1.49915537429522e-08,0.000283992785937766,5.59455230810048e-05,9.79101761122238e-05,8.11928656118925e-05,2.10072627899331e-05,5.38033386085017e-05
113_ID,-4.02695812569658e-08,-2.14328079978087e-08,9.05712871399359e-08,7.4895699265833e-08,-1.82421277108611e-07,-2.08326278549061e-07,4.01552281566874e-08,4.99858920636384e-08,5.04160589832485e-08,2.49098072021946e-08,-2.22576505265299e-07,-2.58312170612699e-07,-4.03098508382228e-05,-2.14542408058065e-05,9.06618584270759e-05,7.49705949650988e-05,-0.00018260369838572,-0.00020853460482761
